评论时间,评论者IP归属地,评论内容
2023年,来自广东,换角度你拥有超级辅助，学好gpt，定所向披靡
2023年,来自北京,好梦，但不是事实
2023年,来自广东,然而现实是 打部分工作都是重复劳动。普通人也确实适合重复劳动。ai降本增效 就业压力就会变大[开学季]。包括创意行业
2023年,来自安徽,能不能不要贩卖焦虑了，还给小孩子压力
2023年,来自重庆,我让ChatGPT做了几道数学题，它做错了。
2023年,来自河南,完了，看完这个我更焦虑了
2023年,来自上海,任务
2023年,来自广东,你会毕业就失业
2023年,来自广东,然后爸爸失业了
2023年,来自广东,孩子都开始卷了
2023年,来自四川,小小年纪，竟有如此忧患意识，优秀[打call]
2023年,来自广西,[允悲][允悲][允悲]
2023年,来自山东,这个没什么，有没有Ai资本家都会保持大量失业人群来进行压迫剥削
2023年,来自荷兰,太卷了太卷了
2023年,来自上海,这个娃娃很早熟啊
2023年,来自四川,AI只是没有生命的工具，利用好可以创造更多财富供养社会，但对AI产生焦虑的原因之一，是因为人们担心自己的工具性被取代，自己并不是社会供养的那一批人，也就是说，焦虑中的大多数人现在仅是具有奴隶性的工具[跪了]这个b世界
2023年,来自山东,小孩子都有危机感何况大孩子呢[泪][泪]
2023年,来自河北,最近好像说很多大学要新增人工智能类的专业[doge]
2023年,来自河北,人无远虑必有近忧，这个小朋友真的很棒，关注时事
2023年,来自上海,当老板别找工作
2023年,来自重庆,Ai做更多事，人类就可以去做更有意义的事了啊，有什么关系呢[doge]
2023年,来自四川,是不是不用生孩子了。机器人代替[哈哈][哈哈][哈哈][哈哈]
2023年,来自天津,这样的还焦虑呢[允悲]
2023年,来自山西,想太多
2023年,来自陕西,四川小女孩说的是英语吗？
2023年,来自广西,#小学女生因AI产生就业焦虑# 该有焦虑的应该是他的父母才对
2023年,来自四川,#小学女生因AI产生就业焦虑# 所以对于大家的创造力有更高的要求了
2023年,来自广东,转发微博
2023年,来自江苏,[允悲][允悲]
2023年,来自吉林,小孩不能拒绝成长，人类不能畏惧进步，大家已经开始不生了……
2023年,来自辽宁,我家小学四年级的小子还惦记每天出去玩泥巴呢[二哈][二哈]
2023年,来自北京,不用焦虑，科技一直在进步，而人也会一直适应科技进步，从而衍生出新的工种
2023年,来自四川,又上热搜了啊[doge]
2023年,来自江西,就我关注的点是我以为她是要用四川话说话，结果她talking in engliah[泪]
2023年,来自河南,不是 这么小的孩子英语说的这么好
2023年,来自内蒙古,啥时候AI能生孩子
2023年,来自福建,英语说的好
2023年,来自山东,当然支持！
2023年,来自山东,是绣英语吗？还是父亲是外国人？
2023年,来自江西,小姑娘你是对的
2023年,来自江苏,好好学以后才能成为主人
2023年,来自江西,AI不能消费
2023年,来自河北,焦虑什么，生产力发展了只能是生活越来越好，蒸汽机发明不是照样提高生产力，手工工作不需要人来做了，
2023年,来自河北,危机
2023年,来自上海,以后高考试题形式也会变，单靠刷题是拿不了高分的！
2023年,来自北京,广告[good][good][good]
2023年,来自四川,有压力了[允悲]
2023年,来自广东,我小时候也这样[允悲]现在 躺平   无所谓
2023年,来自北京,[doge]
2023年,来自广东,为什么当年电脑出来时候我们没有现在这么焦虑呢
2023年,来自四川,妹妹不用担心你那辈没那么多人口抢工作[doge]
2023年,来自浙江,人工智能真的会改变很多原有的规则
2023年,来自安徽,贩卖焦虑[doge][doge][doge][doge]
2023年,来自安徽,@其他用户 ，说的好好
2023年,来自河南,这英文？[思考]是配音吗，作为国人英语也好的太过分了吧
2023年,来自上海,确定是ai的主人么[doge]
2023年,来自四川,这是四川的女生吗？英语这么正宗！
2023年,来自美国,我说实话，读书这么多年，她口音比我标准[二哈][二哈]。
2023年,来自江西,@其他用户 
2023年,来自北京,[笑cry]
2023年,来自云南,爸爸说得狠对。
2023年,来自四川,工业革命？ridiculous
2023年,来自新疆,不看地区，我以为是外籍华人呢，一口流利的英文[允悲]
2023年,来自浙江,其实我也会觉得ai会替代一些人类的事情。我们这一代感觉很多很会失业。我自己的想法
2023年,来自江苏,10年后ai太多了，一大半都找不到工作，可以当丫鬟保姆。
2023年,来自四川,为什么她这么大英文会这么流利[泪]羡慕死谁啊
2023年,来自广东,这周流行auto-gpt
2023年,来自江西,Al可以代替直播了[举手][举手]
2023年,来自江苏,别怕，以后拧螺丝都比人家做文件的工资高[抱一抱]
2023年,来自四川,[微笑]当一个话题价值不大时就让小孩来表演。
2023年,来自四川,这孩子是不是上回用英语聊三国那个[可爱]
2023年,来自四川,焦虑得也太早了吧？先担心一下作业吧！
2023年,来自吉林,太卷了
2023年,来自广东,妹妹，最惨的是我们这种应届毕业生[泪]
2023年,来自四川,装逼怪[赞]
2023年,来自海南,AI确实越来越强大了…害怕
2023年,来自上海,啥都不学就不焦虑了。
2023年,来自安徽,差不多的了
2023年,来自河南,转发微博
2023年,来自河南,转发微博
2023年,来自上海,孩子不用担心，你可以研究断电和不断电的内容。从源头拿捏人工智能。
2023年,来自重庆,这个问题还是留给围棋界焦虑吧，他们是最先被ai搞死的
2023年,来自福建,有啥焦虑的 又不是跟机器人比
2023年,来自上海,幸好我是制造业技术工种，Ai暂时还找不到代替人工制造吧？
2023年,来自内蒙古,AI并不能自主完成工作，还是得一步步下指令的
2023年,来自湖南,她其实说的没错[doge][doge][doge]我现在每天日报 周报 PPT 都是用的chatgpt
2023年,来自广东,AI这么强大，那我还能安稳的打工到领养老金吗[泪]
2023年,来自山东,转发微博
2023年,来自湖南,为什么这么小就想工作
2023年,来自广东,我的天
2023年,来自河北,我也焦虑，我专业就是人工智能，除非考研考的好，不然都找不到对应的工作
2023年,来自山东,#小学女生因AI产生就业焦虑#科学发展飞速，现在的孩子压力也很大
2023年,来自北京,哈哈，惨了
2023年,来自福建,[doge]想象？这位家长有点异想天开嗷 作业都做不完
2023年,来自广东,觉醒
2023年,来自浙江,@其他用户  [揣手]
2023年,来自浙江,我听到你这么小讲这么好的英语，我才焦虑[允悲]
2023年,来自湖南,摆拍？脚本？小学生会知道翻墙注册？
2023年,来自浙江,适应力强
2023年,来自湖北,聪明的孩子[鲜花][赞]祖国的花朵希望自己能够好好看看我们喜欢的东西[握手][握手][握手][握手][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞]
2023年,来自黑龙江,我滴妈，早了
2023年,来自山东, #小学女生因AI产生就业焦虑#生活竞争真的好厉害，连小学生都焦虑了
2023年,来自安徽,为啥还没长大就想着以后要打工的事了[允悲]，小朋友珍惜你的小时候，长大了有没完没了的班要你上的
2023年,来自四川,[允悲]
2023年,来自上海,这个问题我很早就跟孩子讨论过了 我们这一代是人之间的竞争 他们这一代还要跟机器竞争上岗 压力不小 所以现在必须更努力
2023年,来自北京,打卡
2023年,来自广东,到时候就不需要那么多人了，只要一小群精英就足够了，其它的该怎么处理呢？
2023年,来自北京,[允悲][允悲][允悲]
2023年,来自四川,太卷了  幸好是极少数至少是少数吧[晕]
2023年,来自浙江,这种言论就是善意的欺骗吧[二哈]
2023年,来自四川,然而社会需要多少人去想象呢？
2023年,来自北京,小姑娘长高了。
2023年,来自江苏,人工智能取代不了人类智能[doge]
2023年,来自四川,成为al的主人，只是极少部分人的，绝大部分人压根没有那个能力的。
2023年,来自四川,@其他用户 
2023年,来自湖南,多么好的思维力，能想到那么远，想工作，我小学可没她那么牛
2023年,来自江苏,贩卖焦虑。AI的机制和人脑的机制就不一样
2023年,来自广东,来搞土木啊，ai暂时替代不了[奋斗]
2023年,来自辽宁,趋势不可阻挡[允悲]！人类最后进化只剩大脑[允悲]
2023年,来自山东,英语真好听
2023年,来自中国,@其他用户 
2023年,来自广西,#小学女生因AI产生就业焦虑# 反正我是没有就业焦虑的[嘻嘻]
2023年,来自天津,俄乌三国评女孩
2023年,来自江苏,[允悲]
2023年,来自四川,#小学女生因AI产生就业焦虑# 其实说实话AI真的可以淘汰一大部分人[苦涩]
2023年,来自山东,#小学女生因AI产生就业焦虑# 就感觉现在越来越卷了
2023年,来自广东,[允悲]我更焦虑
2023年,来自福建,是不是会像科幻小说中写的那样，人类和AI终有一战[偷乐][偷乐][偷乐]
2023年,来自广东,[汗]
2023年,来自湖北,恐慌情绪开始蔓延了[666]
2023年,来自浙江,没AI 也不一定找得到[笑而不语]
2023年,来自北京,“ 成为AI的主人”这个爸爸太棒了[赞]
2023年,来自辽宁,[允悲][哈哈]不至于
2023年,来自辽宁,人工智能技术一定会被推广的。不是焦虑的事情
2023年,来自辽宁,这种焦虑其实没有必要。即使来了，也是大势所趋，到时再说。
2023年,来自黑龙江,现在的小学生很聪明哟，不容小觑的[奋斗]
2023年,来自上海,加油！ 加油 ！
2023年,来自上海,火了~c
2023年,来自上海,好喜欢你
2023年,来自新疆,我在精神上支持你。
2023年,来自上海,第一次看到这么给力的，
2023年,来自上海,好吧。那我也捧场吧。。
2023年,来自上海,很特别哎``！
2023年,来自黑龙江,非常不错的一项技术，完美的解决了生活的便捷
2023年,来自上海,好内容，要分享。
2023年,来自上海,不错的哦，一定要赞一个
2023年,来自上海,今年的好事情就是多呀
2023年,来自上海,不赞我良心都过意不去啊
2023年,来自浙江,应该不错的
2023年,来自上海,感觉现在很多事情确实是这样。
2023年,来自北京,这样的发展推广真是一项很不错的措施啊
2023年,来自上海,好东西，必须分享，嘻嘻
2023年,来自上海,[ali追]转发转发，转给朋友圈里了，哈哈
2023年,来自上海,[偷乐]
2023年,来自江苏,挺好的，希望越来越好！
2023年,来自陕西,[允悲]所以要选择AI不能替代职业才好
2023年,来自河北,压力这么大吗？
2023年,来自广东,小朋友都亚历山大了
2023年,来自江苏,高等级职业ai代替不了的
2023年,来自河北,减少压力
2023年,来自陕西,看来很有经济头脑
2023年,来自浙江,哎孩子也焦虑
2023年,来自天津,别这么早焦虑吧
2023年,来自天津,我们要做自己
2023年,来自天津,真的别焦虑[允悲]
2023年,来自甘肃,现在的科技发展到人都开始担忧就业问题了
2023年,来自湖北,我天，还这么小[笑cry]
2023年,来自湖北,唉
2023年,来自河南,只会成为AI主人的打工仔
2023年,来自辽宁,AI可能是抄袭
2023年,来自湖北,焦虑解决不了问题啊
2023年,来自河南,怎么小学就开始焦虑了啊[跪了]
2023年,来自安徽,有焦虑正常，也是要提升自己
2023年,来自河北,高科技不一定就是最好的[哈哈]
2023年,来自河北,不要焦虑[开学季]
2023年,来自重庆,别这么焦虑，放松心情
2023年,来自湖北,这个没必要吧
2023年,来自贵州,正常的，谁都会焦虑
2023年,来自重庆,不要让AI取代我们
2023年,来自广东,现在那么小都想着就业了
2023年,来自广东,本来童真的时候[允悲]
2023年,来自天津,原来焦虑不分年龄段[允悲]
2023年,来自河南,现在科技的发展实在是太快了
2023年,来自上海,他懂这是啥么[笑cry]
2023年,来自广东,太着急了[汗]
2023年,来自江苏,不需要那么担心吧[二哈]
2023年,来自江西,焦虑从小开始[允悲]
2023年,来自河南,现在小学生都思考这么有深度的问题了吗
2023年,来自广东,焦虑没用，活着当天下，每个时代有突破性职业[doge] 期待吧
2023年,来自天津,[思考][思考][思考]
2023年,来自吉林,都焦虑[笑cry]
2023年,来自广东,天哪这么小就懂得焦虑就业
2023年,来自广东,就业焦虑谁没有
2023年,来自河北,确实就业压力那个年龄段都有
2023年,来自江西,那么小就开始焦虑就业问题了[允悲][允悲]
2023年,来自上海,我来了！[吃货]
2023年,来自上海,看起来不错的样子，get了~
2023年,来自上海,必须支持，这我喜欢，感觉很不错的样子额
2023年,来自上海,很有风格，很喜欢的
2023年,来自上海,我在精神上支持你。
2023年,来自上海,顶一个，一定会支持下去
2023年,来自上海,再有这样的，下次叫着我
2023年,来自浙江,过来看看，要继续加油啊
2023年,来自上海,嘻嘻
2023年,来自上海,好东西，必须分享，嘻嘻
2023年,来自上海,我觉得这个绝对会火呢！
2023年,来自上海,OMG！！！太给力了！
2023年,来自上海,顶起，对这样的东西就是无法抵抗[赞啊]
2023年,来自上海,儿子说必须让我点赞，所以我来了。
2023年,来自上海,搜藏搜藏 额
2023年,来自上海,就是喜欢，就是支持
2023年,来自上海,[ali冤]很喜欢，大饱眼福，会推荐给周围的朋友的
2023年,来自广东,现在小学生们的意思也太强了吧，祖国会越来越强大的
2023年,来自中国,小学生就有焦虑情绪，真是思绪多多啊
2023年,来自山西,人工智能是未来的发展趋势，能够走入中小学课堂，说明它的重要性
2023年,来自上海,今天天气好好啊，要开心啊。
2023年,来自浙江,我们看好你
2023年,来自上海,我想说：我完全完全木有阿！！！
2023年,来自上海,[花心]不错，支持
2023年,来自上海,为身边的朋友转发
2023年,来自山西,没想到AI智能竟然能够走入中小学的课堂，太给力了
2023年,来自北京,真是令人没有想到啊，从小就培养这样的技术应用
2023年,来自上海,必须赞一个，不然我会后悔的。
2023年,来自上海,[ali追]转发转发，转给朋友圈里了，哈哈
2023年,来自上海,哎呀呀哎呀呀~~~
2023年,来自上海,第一次看感觉不错，以后会继续支持你的[太开心]
2023年,来自新疆,就喜欢这样的，么么哒[鼓掌]
2023年,来自上海,我们看好你
2023年,来自广东,小朋友们有这样的焦虑也是好事情，相信未来发展会更好
2023年,来自北京,纳入的课本当中，这是一个非常不错的选择
2023年,来自上海,好的东西大家要一起分享哦，不错哦
2023年,来自上海,现在这么卷[嘻嘻][嘻嘻][嘻嘻]
2023年,来自广西,只要你先用AI卷死别人，就不会被别人卷死[doge]
2023年,来自河南,设计师行业也不好干了[泪]
2023年,来自广东,券商最近是有什么利好，大金融这两天一直在涨，还能拿一些进去吗券商
2023年,来自中国,现在着孩子真是越来越优秀，越来越懂事了
2023年,来自上海,真的很喜欢，我一定会继续 围观的
2023年,来自山西,如此小小的年龄，英语的口语，竟然讲的这么流利，太厉害
2023年,来自山西,现在的孩子都是这么卷，非常优秀，来是属于他们的
2023年,来自上海,[心]
2023年,来自上海,[围观]
2023年,来自上海,不说别的了，支持一下先
2023年,来自北京,不得不让人佩服呀，这样的年纪也太厉害了吧
2023年,来自广东,这群孩子们比我们这些大人还通透，挺好的，祖国未来靠你们啦
2023年,来自广东,希望人工智能会在以后发展更好，让更多小朋友接触这些
2023年,来自上海,[加油啊]我路过看看，真是不错，加油。
2023年,来自上海,很喜欢的哦
2023年,来自上海,我可以说。。。写的真好。。
2023年,来自上海,挺有才的，有没有呢
2023年,来自河北,~爱你哦
2023年,来自上海,怎么会呢，好棒呀
2023年,来自上海,好东西，必须分享，嘻嘻
2023年,来自上海,写这么好。
2023年,来自北京,一段非常优秀的回答，太让人感到震惊了
2023年,来自陕西,感觉ai人工智能就是人类技术发展，应该不会取代人类，他们应该人类伙伴[心]
2023年,来自河南,内容很给力，我也分享下啊。[赞啊]
2023年,来自浙江,[偷笑]这样的情况下我不能不赞一个啊
2023年,来自辽宁,如果人工智能取代我的工作，那也是大势所趋，只能接受。
2023年,来自中国,人工智能能代替人类，那也是社会的一个发展，很可取的
2023年,来自辽宁,当然能够接受。人工智能就是大势所趋。是社会的进步。
2023年,来自黑龙江,非常不错的一项技术，完美的解决了生活的便捷
2023年,来自上海,报纸上也是这么说的
2023年,来自上海,超级赞的，你懂我的感受吗？[ali微博益起来]
2023年,来自上海,好喜欢
2023年,来自黑龙江,其实说实话AI真的可以淘汰一大部分人[苦涩]
2023年,来自上海,喜欢
2023年,来自浙江,还不错哦，小伙伴们觉得不错
2023年,来自上海,我也很喜欢的，加油。
2023年,来自北京,逐步应用社会当中，证明了社会在进步
2023年,来自上海,真的不错哦，很可以的
2023年,来自浙江,貌似似得，可有人不会懂
2023年,来自上海,偶像 崇拜你 [lt羞]
2023年,来自上海,超级赞的，你懂我的感受吗？[ali微博益起来]
2023年,来自上海,真心觉得很不错~点个赞吧。
2023年,来自江苏,哈哈不哦错哦，挺好的哦，支持
2023年,来自上海,搜藏搜藏 额
2023年,来自上海,原来还可以这样的
2023年,来自上海,哈哈，真不错。~
2023年,来自上海,我在精神上支持你。
2023年,来自上海,火了~c
2023年,来自上海,"他是一个不错的作家,他写的作品我都有看过."
2023年,来自上海,路过的一只，感觉不错呢
2023年,来自上海,感觉很不错诶，支持
2023年,来自北京,非常期待人工智能可以全面的应用到生活当中
2023年,来自上海,谢谢楼主分享这么好的东西，呵呵
2023年,来自上海,我是专业点赞户~
2023年,来自山西,AI确实很重要，应该从娃娃学起，可以更好的理解
2023年,来自上海,有境界
2023年,来自上海,这样吖···好吧~
2023年,来自上海,这个必须赞一个，不然对不起自己啊
2023年,来自重庆,让A丨走进学校，从小培养孩子们，让他们更强
2023年,来自北京,接触的多了 就会懂得更多 未来会更多的创造[打call][打call]
2023年,来自上海,[马到成功]赞一个死党
2023年,来自上海,哎呀呀哎呀呀~~~
2023年,来自北京,确实很重要 未来的应用会越来越多的 我们加油
2023年,来自陕西,ai技术应该从小抓起，应该给孩子们普及这样的课程[心]
2023年,来自河南,偶也要参与一下，真心不错呢。
2023年,来自上海,喜欢，嘿嘿
2023年,来自上海,为了对得起自己，来赞一下你
2023年,来自上海,不错，分享了
2023年,来自上海,好东西转给大家~~
2023年,来自上海,[威武] 关注了
2023年,来自北京,从小就开发这种Ai的技术，以便更加的熟练运用
2023年,来自上海,无意间看见这条微博的，真不错呢。
2023年,来自上海,[酷]
2023年,来自河南,看的整个人都不好了，太赞了！[偷笑]
2023年,来自上海,给我力量啊！一定要活的有尊严！
2023年,来自浙江,今年的好事情就是多呀
2023年,来自浙江,赞一个，为了自己
2023年,来自北京,大力发展AI技术，可以让更多人掌握科技的力量
2023年,来自北京,科技的力量吧 在未来的应用会越来越多的 我们加油[打call][打call]
2023年,来自北京,真的是 AI技术真的越来越强大了[打call]潜力会更大的呀[打call]
2023年,来自上海,是我喜欢的
2023年,来自上海,诶呦喂还有这么好的事啊，真是太好了
2023年,来自上海,很给力，必须得特别 围观
2023年,来自山西,科技引领未来，AI发展是势不可挡的趋势
2023年,来自浙江,[威武] 关注了
2023年,来自重庆,科技太强大了，智能化Al已经走进了学校
2023年,来自陕西,AI走进课堂，走进我们生活，应该是时代趋势[赞]
2023年,来自上海,手机也要支持，写的太好了！
2023年,来自上海,一个字--赞赞！！！
2023年,来自上海,儿子说必须让我点赞，所以我来了。
2023年,来自上海,希望继续加油哦，不错！有了梦想才能去开启未来
2023年,来自北京,智能化的发展，要从小培养这种先进的人才
2023年,来自上海,我路过，顺便顶一下，嘿嘿
2023年,来自北京,高科技的运用，可以让生活更加的便捷
2023年,来自上海,真招人稀罕，我就稀罕你哈
2023年,来自上海,[可爱]满有意义的嘛，我喜欢。
2023年,来自德国,让我先焦虑
2023年,来自辽宁,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈[二哈]
2023年,来自上海,我一向是很支持的。。。MUA~[心]
2023年,来自上海,先给免费点一万个赞，赞！嘿嘿
2023年,来自上海,有点意思，可以 围观一下。
2023年,来自新疆,很给力
2023年,来自上海,[可怜]感受正能量
2023年,来自重庆,这是一个重大的里程碑，让人工智能走进了学校
2023年,来自山西,人工智能是未来的发展趋势，ai走进小学课堂非常给力[打call]
2023年,来自重庆,这个太棒了，走进了学校让孩子们从小都接触未来会更好
2023年,来自上海,不错不?
2023年,来自上海,帮转了！[爱你]
2023年,来自上海,爱你爱你爱你
2023年,来自上海,好微博， 围观下 [din抓狂]
2023年,来自上海,原来还可以这样的
2023年,来自北京,现在让我们小学生多多接触 可以更好的去创造 [打call][打call][打call]
2023年,来自陕西,这所小学太厉害，围绕ai人工智能给孩子们开展好多课程[送花花]
2023年,来自上海,好温馨的小段子！！
2023年,来自浙江,看了看还是支持一下吧
2023年,来自上海,感觉现在很多事情确实是这样。
2023年,来自浙江,顶起来啊，很用心哦，给多个赞赞啦。
2023年,来自上海,[赞] 围观就是力量！
2023年,来自上海,太给力了！
2023年,来自上海,感觉还是不错的。
2023年,来自上海,赞一个，为了自己
2023年,来自上海,让我听到了久违的快乐啊[欢乐购车季]
2023年,来自北京,这样的技术是人类里程碑的一个新的开端
2023年,来自上海,希望继续加油哦，不错！有了梦想才能去开启未来
2023年,来自上海,经典
2023年,来自上海,我是不会告诉你我正在看哦
2023年,来自北京,AI的技术发展已经逐步成为未来社会的一个主体
2023年,来自广西,你以为的科技造福人类：结束996，每人每天6小时加双休享受生活。真实的科技造福人类：裁掉一堆人留下高端耗材继续996(你不干有的是人干)，资本家别墅变成飞天别墅[doge]
2023年,来自辽宁,回复@其他用户 :替代就替代呗，替代我就出去旅游了，又不差钱
2023年,来自辽宁,回复@其他用户 :你觉得资本家认为五个人一周一天班省钱还是一个人一周五天班省钱
2023年,来自四川,回复@其他用户 :你说为什么不能？你是老板选哪个？
2023年,来自福建,[笑cry]
2023年,来自广东,回复@其他用户 :我只知道你老板会出手的[交稅]
2023年,来自辽宁,回复@其他用户 :然而我们老板一周上七天班
2023年,来自广东,回复@其他用户 :因为你不是老板
2023年,来自辽宁,回复@其他用户 :我用的是champ软件里的AI配合速攻PPT做的
2023年,来自辽宁,回复@其他用户 :我干的比以前快你猜我轻松没轻松[太开心]
2023年,来自广东,回复@其他用户 :哇，那工作轻松了吗，工资涨了吗[偷笑]
2023年,来自湖南,回复@其他用户 :可以推荐一下你做ppt的工具吗，我做ppt做麻了[二哈]
2023年,来自四川,回复@其他用户 :我就是学英语的[微笑][嘻嘻][揣手]
2023年,来自四川,回复@其他用户 :PPT制作有没有网站或者软件推荐呢
2023年,来自广东,回复@其他用户 :我们公司以前有一批兼职翻译，现在准备慢慢开掉了。。。
2023年,来自江西,[doge]工地搬砖的就不怕了，缺人的紧
2023年,来自陕西,回复@其他用户 :哥，推一下软件吧[泪]
2023年,来自四川,回复@其他用户 :教下我可以吗，用啥软件啊
2023年,来自辽宁,回复@其他用户 :就是很省事啊，我觉得AI甚至可以说是脑力劳动的蒸汽机了
2023年,来自上海,回复@其他用户 :所噶，那倒是省了不少时间[doge]
2023年,来自辽宁,回复@其他用户 :打螺丝你最快是吧[doge]
2023年,来自江苏,回复@其他用户 :机械类表示丝毫不慌[doge]
2023年,来自辽宁,回复@其他用户 :以前PPT是一张一张做，现在直接AI配合一个软件自动生成，我稍微改一下就行
2023年,来自辽宁,回复@其他用户 :做网站前端和乙方PPT，5倍有点夸张，但就那意思吧
2023年,来自上海,回复@其他用户 :你好，能好奇一下什么工作么？五倍可不小[doge]
2023年,来自辽宁,回复@其他用户 :为什么不能是一周上一天班[思考]
2023年,来自辽宁,回复@其他用户 :然后老板直接开了另外四个
2023年,来自辽宁,回复@其他用户 :确实会让专业差距急剧降低
2023年,来自广东,回复@其他用户 :那是专业没被波及到而已，像文职翻译类，绘画类，已经遍地哀嚎了。
2023年,来自辽宁,最后都能适应，我现在用AI干活比以前快五倍
2023年,来自湖北,"回复@其他用户 :有点异想天开了哥们，现在主流的几个ai论都在强调ai作为资本主义再生产的工具，有句话说的特别好""ai并不能解放劳动，而且解放资本"""
2023年,来自河南,AL不定和人谁厉害
2023年,来自四川,回复@其他用户 :妈呀看这不懂装懂的样子
2023年,来自贵州,回复@其他用户 :现在上层人类还是需要中下层打工仔的，未来就不需要了
2023年,来自贵州,回复@其他用户 :全世界还是会有几个人有管理权限的。另外，为啥ai需要人类当工具？ai本身就是被当成最强的工具来用的，它需要人类干啥？需要吗人类吗？[微笑]
2023年,来自上海,本来社会结构成立后少数人拿捏大部分人。随遇而安知足常乐，让自己活的淡然简单点。
2023年,来自广西,现在不是有挺多招Ai画师的吗，姐妹可以去学学Ai
2023年,来自北京,回复@其他用户 :嗯。
2023年,来自山东,加油
2023年,来自陕西,怎么了[泪]
2023年,来自云南,没事，年轻人工作个半年一年的就醒悟了
2023年,来自重庆,没事，年轻人工作个半年一年的就醒悟了
2023年,来自贵州,不然呢
2023年,来自浙江,出生在底特律的小黑孩被教育怎么混帮派
2023年,来自天津,回复@其他用户 :我要是有五百万我就不想挣钱了，直接辞职去干想干的
2023年,来自天津,回复@其他用户 :您怎么思考都没毛病，社会进步的第一要素就是思考多元化
2023年,来自四川,我寻思没毛病啊，人就是得先学会生存立足啊
2023年,来自天津,回复@其他用户 :Ai也许可以替代人类，我国的财团不会让Ai替代流水线，因为国家不需要闲人，闲人多了就乱了，财团背后的那些人该慌了。
2023年,来自浙江,AI明明可以解放很多人的双手，用同等的价值创造，供养更多的人，让那些人能去做自己喜欢的事情，但现在却成了利益的挤兑方
2023年,来自黑龙江,小学不该考虑这么多。
2023年,来自广东,回复@其他用户 :确实不至于，我说的太过了。
2023年,来自四川,教育需要改革，Al的一个重要目的就是用机器劳动来替代人类这种工资劳动。模仿的与其说是人类，不如说是工厂里打螺丝的行为。以前的教育模式显然无法匹配这种发展。
2023年,来自湖北,得了吧，网上百分之99都是说国家培养你教你要有奉献精神是为了噶韭菜，所以你终极目的是要躺平赚钱，不寒碜。[doge]
2023年,来自山西,向钱看向厚赚，赚到钱就这个[赞]
2023年,来自贵州,因为我们是发展中国家[笑而不语]我们还不够有钱，你所看到的西方更高更美好的追求都建立在丰富甚至过剩的浪费的物质基础上
2023年,来自福建,幸好没教零元购，还能付钱。
2023年,来自北京,回复@其他用户 :这……不至于吧，我现在的目标就是赚钱
2023年,来自江西,这句话怎么说呢，却从来没人教怎么赚钱
2023年,来自浙江,人生的目的，赚钱的同时享受人生，两者都重要
2023年,来自广东,终于有人发现了，人生的目的，不只是挣钱。如果你真的是所有的目的都为了赚钱，那你最后终将一无所有，因为你会为了这个目的不择手段。
2023年,来自山东,如果那样，干脆都别活了
